,team,metric,playername,data_source,player_mean_value,team_avg_value,percent_difference_from_team_mean,timestamp
222,Volleyball,leftTorque,PLAYER_251,vald,107.9,134.1,-19.53765846383295,2025-07-11 12:16:42
223,Volleyball,leftTorque,PLAYER_647,vald,110.05,134.1,-17.934377330350486,2022-08-09 21:05:55
224,Volleyball,rightMaxForce,PLAYER_406,vald,230.88,318.85,-27.58977575662538,2022-07-06 11:22:20
225,Volleyball,rightMaxForce,PLAYER_251,vald,241.0,318.85,-24.415869531127495,2025-07-11 12:16:42
226,Volleyball,rightMaxForce,PLAYER_743,vald,249.32,318.85,-21.8064920809158,2022-07-06 11:26:31
227,Volleyball,rightMaxForce,PLAYER_647,vald,260.25,318.85,-18.37854790653913,2022-07-06 11:20:49
228,Volleyball,rightMaxForce,PLAYER_1241,vald,272.75,318.85,-14.45820918927396,2025-07-11 12:10:14
229,Volleyball,rightTorque,PLAYER_406,vald,96.62,131.67,-26.619579251158186,2022-08-09 22:03:52
230,Volleyball,rightTorque,PLAYER_251,vald,98.69,131.67,-25.047467152730306,2025-07-11 12:16:42
231,Volleyball,rightTorque,PLAYER_648,vald,101.71,131.67,-22.753854332801698,2022-08-09 22:05:13
232,Volleyball,rightTorque,PLAYER_647,vald,106.57,131.67,-19.062808536492746,2022-08-09 21:05:55
233,Volleyball,rightTorque,PLAYER_743,vald,107.16,131.67,-18.61471861471861,2022-08-09 22:02:16
234,Womens Basketball,accel_load_accum,PLAYER_947,kinexon,5.71,545.09,-98.95246656515437,2022-06-23 15:00:00
235,Womens Basketball,accel_load_accum,PLAYER_105,kinexon,13.85,545.09,-97.45913518868443,2022-03-22 11:34:00
236,Womens Basketball,accel_load_accum,PLAYER_585,kinexon,251.17,545.09,-53.92137078280652,2022-03-22 11:34:00
237,Womens Basketball,accel_load_accum,PLAYER_432,kinexon,270.39,545.09,-50.39534755728412,2022-03-22 11:34:00
238,Womens Basketball,accel_load_accum,PLAYER_792,kinexon,272.87,545.09,-49.94037681850704,2022-03-22 11:34:00
239,Womens Basketball,distance_total,PLAYER_947,kinexon,18.49,3876.2,-99.52298643000877,2022-06-23 15:00:00
240,Womens Basketball,distance_total,PLAYER_105,kinexon,166.13,3876.2,-95.7141014395542,2022-03-22 11:34:00
241,Womens Basketball,distance_total,PLAYER_585,kinexon,2037.08,3876.2,-47.44646819049584,2022-03-22 11:34:00
242,Womens Basketball,distance_total,PLAYER_432,kinexon,2080.44,3876.2,-46.32784686032712,2022-03-22 11:34:00
